Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C7",0805,3,100nF,C49678
"C11, C12, C13, C14, C15, C16, C4, C5, C6, C8, C9",0805,11,10uF,C15850
"C2, C3",0805,2,22pF,C1804
D1,0805,1,LED,C84256
D3,0805,1,PWR_LED,C84256
D4,D_SMF,1,SMF18A,C169433
"D5, D6",D_SMF,2,SMF5V0A,C1972946
"D7, D8",D_SOD-323_HandSoldering,2,1N5819WS,C191023
J1,USB-C-SMD_G-SWITCH_GT-USB-7010ASV,1,GT-USB-7010ASV,C2988369
J2,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,12V PWR,C194407
J3,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,5V PWR,C194407
"Q1, Q2",SOT-23-3,2,S8050_C105433,C105433
"Q3, Q4, Q5",TO-252-2,3,UMW30N06,C369599
"R1, R10, R11, R2, R5, R6, R7",0805,7,10k,C17414
"R12, R8, R9",0805,3,470,C17710
"R13, R14, R15, R16",0805,4,100,C17408
"R3, R4",0805,2,5.1k,C27834
SW1,SW_SPST_TL3342,1,RESET,C318884
SW2,SW_SPST_TL3342,1,FLASH,C318884
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340G,C14267
U3,ESP-12E,1,ESP-12E,C89297
U4,SOT-223-3_TabPin2,1,AMS1117-5.0,C6187
U5,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
"U6, U7, U8",SOT-23-5_HandSoldering,3,MCP1416,C83775 
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,Crystal_12MHz,C9002
